district,year,month,ndvi,ndvi_baseline,anomaly_pct
Ramanathapuram,2022,4,0.2982,0.2497,19.42
Salem,2022,4,0.435,0.37695,15.4
Thanjavur,2022,4,0.3545,0.335225,5.75
Sivaganga,2022,4,0.3582,0.303225,18.13
Tiruchchirappalli,2022,4,0.4166,0.3382,23.18
Tirunelveli Kattabo,2022,4,0.2116,0.3329999999999999,-36.46
Ariyalur,2022,4,0.3138,0.3109,0.93
Chennai,2022,4,0.232,0.240825,-3.66
Cuddalore,2022,4,0.3103,0.32045,-3.17
Kancheepuram,2022,4,0.2877,0.294075,-2.17
Karur,2022,4,0.3535,0.280175,26.17
Madurai,2022,4,0.3764,0.346775,8.54
Nagapattinam,2022,4,0.3018,0.290275,3.97
Namakkal,2022,4,0.4229,0.3531499999999999,19.75
Perambalur,2022,4,0.3654,0.32915,11.01
Theni,2022,4,0.4924,0.470725,4.6
Thiruvallur,2022,4,0.3598,0.33675,6.84
Tiruvannamalai,2022,4,0.3055,0.3495,-12.59
Vellore,2022,4,0.3395,0.34125,-0.51
Villupuram,2022,4,0.3395,0.343625,-1.2
Thoothukudi,2022,7,0.0749,0.19155,-60.9
Virudhunagar,2022,7,0.2463,0.2682,-8.17
Pudukkottai,2022,7,0.4059,0.37705,7.65
Ramanathapuram,2022,7,0.264,0.2653999999999999,-0.53
Thanjavur,2022,7,0.4979,0.4125,20.7
Sivaganga,2022,7,0.3049,0.343125,-11.14
Tiruchchirappalli,2022,7,0.2985,0.342275,-12.79
Ariyalur,2022,7,0.4287,0.362475,18.27
Chennai,2022,7,0.2247,0.1924,16.79
Cuddalore,2022,7,0.3963,0.39685,-0.14
Kancheepuram,2022,7,0.3235,0.506175,-36.09
Madurai,2022,7,0.4609,0.368925,24.93
Nagapattinam,2022,7,0.4316,0.1079,300.0
Thiruvallur,2022,7,0.4591,0.475725,-3.49
Tiruvannamalai,2022,7,0.4222,0.3723499999999999,13.39
Vellore,2022,7,0.5335,0.40025,33.29
Villupuram,2022,7,0.4029,0.4544249999999999,-11.34
Thoothukudi,2022,10,0.3653,0.214625,70.2
Dharmapuri,2022,10,0.6366,0.46565,36.71
Kanniyakumari,2022,10,0.4706,0.4174,12.75
Nilgiris,2022,10,0.5148,0.5840000000000001,-11.85
Erode,2022,10,0.6355,0.515675,23.24
Pudukkottai,2022,10,0.4917,0.409375,20.11
Dindigul,2022,10,0.5193,0.534525,-2.85
