district,year,month,rainfall_mm
Dharmapuri,2023,10,81.81
Virudhunagar,2023,10,74.99
Kanniyakumari,2023,10,201.93
Nilgiris,2023,10,86.43
Erode,2023,10,73.38
Pudukkottai,2023,10,65.76
Dindigul,2023,10,71.36
Ramanathapuram,2023,10,54.42
Salem,2023,10,70.06
Thanjavur,2023,10,65.53
Sivaganga,2023,10,55.29
Tiruchchirappalli,2023,10,65.86
Tirunelveli Kattabo,2023,10,109.2
Ariyalur,2023,10,55.96
Chennai,2023,10,37.46
Cuddalore,2023,10,28.88
Kancheepuram,2023,10,37.81
Karur,2023,10,62.66
Madurai,2023,10,83.93
Nagapattinam,2023,10,55.13
Namakkal,2023,10,71.36
Perambalur,2023,10,63.39
Theni,2023,10,114.09
Thiruvallur,2023,10,36.63
Tiruvannamalai,2023,10,75.65
Vellore,2023,10,78.91
Villupuram,2023,10,43.17
