district,year,month,ndvi
Erode,2022,10,0.6355
Pudukkottai,2022,10,0.4917
Dindigul,2022,10,0.5193
Ramanathapuram,2022,10,0.2738
Salem,2022,10,0.6425
Thanjavur,2022,10,0.589
Sivaganga,2022,10,0.5149
Tiruchchirappalli,2022,10,0.4762
Tirunelveli Kattabo,2022,10,0.3596
Ariyalur,2022,10,0.5657
Chennai,2022,10,0.0
Cuddalore,2022,10,0.5219
Kancheepuram,2022,10,0.0
Karur,2022,10,0.3575
Madurai,2022,10,0.5325
Nagapattinam,2022,10,0.5454
Namakkal,2022,10,0.5548
Perambalur,2022,10,0.6505
Theni,2022,10,0.0
Thiruvallur,2022,10,0.6119
Tiruvannamalai,2022,10,0.6307
Vellore,2022,10,0.6522
Villupuram,2022,10,0.582
Thoothukudi,2023,1,0.484
Coimbatore,2023,1,0.516
Dharmapuri,2023,1,0.5163
Virudhunagar,2023,1,0.6062
Kanniyakumari,2023,1,0.6987
Nilgiris,2023,1,0.6483
Erode,2023,1,0.5035
Pudukkottai,2023,1,0.4656
Dindigul,2023,1,0.5634
Ramanathapuram,2023,1,0.4487
Salem,2023,1,0.5145
Thanjavur,2023,1,0.5209
Sivaganga,2023,1,0.4276
Tiruchchirappalli,2023,1,0.5098
Tirunelveli Kattabo,2023,1,0.4914
Ariyalur,2023,1,0.5129
Chennai,2023,1,0.2142
Cuddalore,2023,1,0.4712
Kancheepuram,2023,1,0.3764
Karur,2023,1,0.4983
Madurai,2023,1,0.5749
Nagapattinam,2023,1,0.4709
Namakkal,2023,1,0.4889
Perambalur,2023,1,0.4662
Theni,2023,1,0.6318
Thiruvallur,2023,1,0.452
Tiruvannamalai,2023,1,0.5005
Vellore,2023,1,0.5605
Villupuram,2023,1,0.4765
Thoothukudi,2023,4,0.232
Coimbatore,2023,4,0.4021
Dharmapuri,2023,4,0.4179
Virudhunagar,2023,4,0.3095
Kanniyakumari,2023,4,0.5282
Nilgiris,2023,4,0.6098
Erode,2023,4,0.3991
Pudukkottai,2023,4,0.2952
Dindigul,2023,4,0.4229
Ramanathapuram,2023,4,0.2215
Salem,2023,4,0.4266
